y,u,mut,k,eps,v2,nuSA,T,alphat,epst,kt,om,fv2
0.1650842307,0.8499035868,0.0008229543,0.0140917892,0.0034259192,0.0013097451,0.0004297703,0.6602997119,0.0000000000,0.0007660280,0.0029920260,1.0000000000,0.1374318121
0.1734417267,0.8648668679,0.0008860385,0.0138501400,0.0032479927,0.0013566699,0.0004290274,0.6546398378,0.0000000000,0.0007351772,0.0029529636,1.0000000000,0.1400471218
0.1821487988,0.8794323262,0.0009516023,0.0135874168,0.0030728724,0.0014015625,0.0004282534,0.6491330588,0.0000000000,0.0007052991,0.0029138791,1.0000000000,0.1425305732
0.1912161531,0.8936091401,0.0010195781,0.0133062399,0.0029014549,0.0014442568,0.0004274475,0.6437660891,0.0000000000,0.0006765215,0.0028754305,1.0000000000,0.1448771960
0.2006544527,0.9074062758,0.0010898927,0.0130090165,0.0027344553,0.0014846042,0.0004266085,0.6385259134,0.0000000000,0.0006489325,0.0028381707,1.0000000000,0.1470826506
0.2104742760,0.9208322627,0.0011624708,0.0126979485,0.0025724281,0.0015224746,0.0004257356,0.6333998465,0.0000000000,0.0006225875,0.0028025582,1.0000000000,0.1491432467
0.2206860715,0.9338949926,0.0012372395,0.0123750455,0.0024157888,0.0015577589,0.0004248279,0.6283755638,0.0000000000,0.0005975153,0.0027689693,1.0000000000,0.1510559603
0.2313001094,0.9466015385,0.0013141335,0.0120421414,0.0022648335,0.0015903705,0.0004238844,0.6234411124,0.0000000000,0.0005737228,0.0027377085,1.0000000000,0.1528184502
0.2423264290,0.9589579903,0.0013931016,0.0117009138,0.0021197586,0.0016202475,0.0004229043,0.6185849082,0.0000000000,0.0005512001,0.0027090175,1.0000000000,0.1544290730
0.2537747838,0.9709693059,0.0014741146,0.0113529056,0.0019806784,0.0016473553,0.0004218867,0.6137957250,0.0000000000,0.0005299237,0.0026830845,1.0000000000,0.1558868966
0.2656545813,0.9826391773,0.0015571734,0.0109995475,0.0018476413,0.0016716886,0.0004208307,0.6090626788,0.0000000000,0.0005098597,0.0026600506,1.0000000000,0.1571917128
0.2779748214,0.9939699110,0.0016423198,0.0106421817,0.0017206439,0.0016932743,0.0004197356,0.6043752133,0.0000000000,0.0004909664,0.0026400161,1.0000000000,0.1583440475
0.2907440307,1.0049623258,0.0017296473,0.0102820859,0.0015996440,0.0017121734,0.0004186005,0.5997230866,0.0000000000,0.0004731966,0.0026230448,1.0000000000,0.1593451702
0.3039701934,1.0156156708,0.0018193133,0.0099204971,0.0014845715,0.0017284835,0.0004174249,0.5950963650,0.0000000000,0.0004564986,0.0026091677,1.0000000000,0.1601971003
0.3176606809,1.0259275694,0.0019115528,0.0095586350,0.0013753378,0.0017423404,0.0004162079,0.5904854257,0.0000000000,0.0004408182,0.0025983852,1.0000000000,0.1609026130
0.3318221777,1.0358939982,0.0020066914,0.0091977235,0.0012718437,0.0017539192,0.0004149491,0.5858809710,0.0000000000,0.0004260989,0.0025906682,1.0000000000,0.1614652416
0.3464606064,1.0455093092,0.0021051588,0.0088390103,0.0011739857,0.0017634346,0.0004136479,0.5812740574,0.0000000000,0.0004122836,0.0025859587,1.0000000000,0.1618892789
0.3615810508,1.0547663095,0.0022075007,0.0084837835,0.0010816605,0.0017711399,0.0004123039,0.5766561428,0.0000000000,0.0003993145,0.0025841688,1.0000000000,0.1621797756
0.3771876783,1.0636564102,0.0023143887,0.0081333825,0.0009947678,0.0017773241,0.0004109167,0.5720191535,0.0000000000,0.0003871340,0.0025851797,1.0000000000,0.1623425363
0.3932836622,1.0721698586,0.0024266255,0.0077892037,0.0009132123,0.0017823077,0.0004094859,0.5673555731,0.0000000000,0.0003756850,0.0025888398,1.0000000000,0.1623841127
0.4098711039,1.0802960644,0.0025451440,0.0074526983,0.0008369029,0.0017864354,0.0004080115,0.5626585540,0.0000000000,0.0003649115,0.0025949625,1.0000000000,0.1623117942
0.4269509569,1.0880240254,0.0026709978,0.0071253606,0.0007657513,0.0017900675,0.0004064932,0.5579220501,0.0000000000,0.0003547585,0.0026033239,1.0000000000,0.1621335935
0.4445229527,1.0953428506,0.0028053400,0.0068087072,0.0006996683,0.0017935681,0.0004049313,0.5531409655,0.0000000000,0.0003451733,0.0026136618,1.0000000000,0.1618582293
0.4625855294,1.1022423643,0.0029493878,0.0065042451,0.0006385598,0.0017972918,0.0004033257,0.5483113137,0.0000000000,0.0003361051,0.0026256746,1.0000000000,0.1614951017
0.4811357642,1.1087137633,0.0031043706,0.0062134320,0.0005823219,0.0018015695,0.0004016768,0.5434303731,0.0000000000,0.0003275064,0.0026390221,1.0000000000,0.1610542616
0.5001693105,1.1147502800,0.0032714607,0.0059376294,0.0005308354,0.0018066940,0.0003999850,0.5384968256,0.0000000000,0.0003193330,0.0026533286,1.0000000000,0.1605463712
0.5196803412,1.1203477971,0.0034516853,0.0056780539,0.0004839619,0.0018129064,0.0003982506,0.5335108596,0.0000000000,0.0003115448,0.0026681880,1.0000000000,0.1599826535
0.5396614981,1.1255053489,0.0036458243,0.0054357305,0.0004415402,0.0018203866,0.0003964745,0.5284742186,0.0000000000,0.0003041064,0.0026831713,1.0000000000,0.1593748300
0.5601038497,1.1302254496,0.0038542968,0.0052114538,0.0004033854,0.0018292462,0.0003946574,0.5233901803,0.0000000000,0.0002969877,0.0026978369,1.0000000000,0.1587350433
0.5809968569,1.1345142055,0.0040770453,0.0050057620,0.0003692896,0.0018395279,0.0003928003,0.5182634553,0.0000000000,0.0002901641,0.0027117426,1.0000000000,0.1580757657
0.6023283492,1.1383811880,0.0043134277,0.0048189269,0.0003390250,0.0018512082,0.0003909041,0.5131000047,0.0000000000,0.0002836162,0.0027244587,1.0000000000,0.1574096911
0.6240845103,1.1418390771,0.0045621277,0.0046509612,0.0003123487,0.0018642065,0.0003889703,0.5079067868,0.0000000000,0.0002773303,0.0027355811,1.0000000000,0.1567496139
0.6462498761,1.1449031091,0.0048210986,0.0045016420,0.0002890094,0.0018783959,0.0003870000,0.5026914516,0.0000000000,0.0002712974,0.0027447431,1.0000000000,0.1561082952
0.6688073438,1.1475903883,0.0050875484,0.0043705478,0.0002687540,0.0018936172,0.0003849949,0.4974620121,0.0000000000,0.0002655127,0.0027516247,1.0000000000,0.1554983207
0.6917381935,1.1499191277,0.0053579764,0.0042571037,0.0002513345,0.0019096928,0.0003829566,0.4922265214,0.0000000000,0.0002599749,0.0027559594,1.0000000000,0.1549319554
0.7150221237,1.1519078866,0.0056282653,0.0041606310,0.0002365145,0.0019264398,0.0003808869,0.4869927862,0.0000000000,0.0002546848,0.0027575373,1.0000000000,0.1544209988
0.7386372983,1.1535748613,0.0058938250,0.0040803960,0.0002240738,0.0019436809,0.0003787878,0.4817681374,0.0000000000,0.0002496448,0.0027562043,1.0000000000,0.1539766455
0.7625604087,1.1549372691,0.0061497832,0.0040156543,0.0002138131,0.0019612534,0.0003766613,0.4765592728,0.0000000000,0.0002448581,0.0027518602,1.0000000000,0.1536093556
0.7867667475,1.1560108486,0.0063912084,0.0039656883,0.0002055559,0.0019790150,0.0003745096,0.4713721760,0.0000000000,0.0002403275,0.0027444532,1.0000000000,0.1533287359
0.8112302966,1.1568094834,0.0066133502,0.0039298380,0.0001991506,0.0019968477,0.0003723351,0.4662121059,0.0000000000,0.0002360555,0.0027339747,1.0000000000,0.1531434366
0.8359238264,1.1573449468,0.0068118762,0.0039075223,0.0001944707,0.0020146596,0.0003701401,0.4610836478,0.0000000000,0.0002320433,0.0027204531,1.0000000000,0.1530610599
0.8608190076,1.1576267526,0.0069830886,0.0038982533,0.0001914149,0.0020323851,0.0003679272,0.4559908101,0.0000000000,0.0002282911,0.0027039488,1.0000000000,0.1530880849
0.8858865338,1.1576621021,0.0071241021,0.0039016441,0.0001899060,0.0020499841,0.0003656990,0.4509371522,0.0000000000,0.0002247982,0.0026845499,1.0000000000,0.1532298042
0.9110962541,1.1574559078,0.0072329701,0.0039174100,0.0001898904,0.0020674404,0.0003634581,0.4459259261,0.0000000000,0.0002215624,0.0026623693,1.0000000000,0.1534902755
0.9364173138,1.1570108847,0.0073087508,0.0039453649,0.0001913363,0.0020847601,0.0003612073,0.4409602189,0.0000000000,0.0002185810,0.0026375430,1.0000000000,0.1538722848
0.9618183033,1.1563276959,0.0073515102,0.0039854136,0.0001942326,0.0021019689,0.0003589495,0.4360430841,0.0000000000,0.0002158505,0.0026102302,1.0000000000,0.1543773230
0.9872674122,1.1554051464,0.0073622651,0.0040375404,0.0001985869,0.0021191097,0.0003566873,0.4311776513,0.0000000000,0.0002133676,0.0025806135,1.0000000000,0.1550055762
1.0127325878,1.1542404194,0.0073428869,0.0041017944,0.0002044244,0.0021362400,0.0003544238,0.4263637764,0.0000000000,0.0002111248,0.0025488474,1.0000000000,0.1557559297
1.0381816967,1.1528293512,0.0072959509,0.0041782721,0.0002117857,0.0021534287,0.0003521616,0.4215983656,0.0000000000,0.0002091125,0.0025150588,1.0000000000,0.1566259884
1.0635826862,1.1511667380,0.0072245338,0.0042670986,0.0002207250,0.0021707519,0.0003499038,0.4168820756,0.0000000000,0.0002073226,0.0024793940,1.0000000000,0.1576121125
1.0889037459,1.1492466643,0.0071320279,0.0043684066,0.0002313083,0.0021882899,0.0003476530,0.4122189445,0.0000000000,0.0002057470,0.0024420230,1.0000000000,0.1587094703
1.1141134662,1.1470628500,0.0070219691,0.0044823157,0.0002436109,0.0022061218,0.0003454121,0.4076129540,0.0000000000,0.0002043794,0.0024031448,1.0000000000,0.1599121069
1.1391809924,1.1446090038,0.0068978674,0.0046089113,0.0002577155,0.0022243206,0.0003431839,0.4030679651,0.0000000000,0.0002032151,0.0023629840,1.0000000000,0.1612130284
1.1640761736,1.1418791713,0.0067630619,0.0047482249,0.0002737098,0.0022429478,0.0003409710,0.3985876333,0.0000000000,0.0002022509,0.0023217865,1.0000000000,0.1626042997
1.1887697034,1.1388680621,0.0066206068,0.0049002176,0.0002916844,0.0022620481,0.0003387760,0.3941753135,0.0000000000,0.0002014857,0.0022798149,1.0000000000,0.1640771531
1.2132332525,1.1355713399,0.0064731900,0.0050647656,0.0003117304,0.0022816437,0.0003366015,0.3898339623,0.0000000000,0.0002009201,0.0022373423,1.0000000000,0.1656221051
1.2374395913,1.1319858615,0.0063230848,0.0052416521,0.0003339379,0.0023017296,0.0003344498,0.3855660472,0.0000000000,0.0002005567,0.0021946470,1.0000000000,0.1672290752
1.2613627017,1.1281098529,0.0061721329,0.0054305622,0.0003583943,0.0023222699,0.0003323233,0.3813734706,0.0000000000,0.0002003996,0.0021520062,1.0000000000,0.1688875058
1.2849778763,1.1239430139,0.0060217514,0.0056310844,0.0003851836,0.0023431950,0.0003302242,0.3772575124,0.0000000000,0.0002004547,0.0021096904,1.0000000000,0.1705864763
1.3082618065,1.1194865493,0.0058729613,0.0058427168,0.0004143852,0.0023644008,0.0003281545,0.3732187966,0.0000000000,0.0002007295,0.0020679584,1.0000000000,0.1723148105
1.3311926562,1.1147431277,0.0057264297,0.0060648771,0.0004460747,0.0023857487,0.0003261162,0.3692572807,0.0000000000,0.0002012327,0.0020270526,1.0000000000,0.1740611734
1.3537501239,1.1097167768,0.0055825215,0.0062969169,0.0004803240,0.0024070676,0.0003241111,0.3653722671,0.0000000000,0.0002019742,0.0019871964,1.0000000000,0.1758141575
1.3759154897,1.1044127250,0.0054413544,0.0065381378,0.0005172022,0.0024281580,0.0003221408,0.3615624343,0.0000000000,0.0002029649,0.0019485913,1.0000000000,0.1775623564
1.3976716508,1.0988372048,0.0053028543,0.0067878083,0.0005567771,0.0024487955,0.0003202070,0.3578258820,0.0000000000,0.0002042166,0.0019114160,1.0000000000,0.1792944280
1.4190031431,1.0929972309,0.0051668072,0.0070451814,0.0005991168,0.0024687373,0.0003183108,0.3541601873,0.0000000000,0.0002057419,0.0018758261,1.0000000000,0.1809991465
1.4398961503,1.0869003686,0.0050329068,0.0073095099,0.0006442913,0.0024877270,0.0003164537,0.3505624663,0.0000000000,0.0002075540,0.0018419542,1.0000000000,0.1826654473
1.4603385019,1.0805545045,0.0049007948,0.0075800610,0.0006923744,0.0025055015,0.0003146366,0.3470294382,0.0000000000,0.0002096669,0.0018099116,1.0000000000,0.1842824629
1.4803196588,1.0739676289,0.0047700948,0.0078561273,0.0007434449,0.0025217964,0.0003128605,0.3435574872,0.0000000000,0.0002120950,0.0017797893,1.0000000000,0.1858395559
1.4998306895,1.0671476389,0.0046404393,0.0081370358,0.0007975887,0.0025363515,0.0003111262,0.3401427213,0.0000000000,0.0002148533,0.0017516599,1.0000000000,0.1873263472
1.5188642358,1.0601021649,0.0045114900,0.0084221538,0.0008548998,0.0025489157,0.0003094343,0.3367810247,0.0000000000,0.0002179576,0.0017255799,1.0000000000,0.1887327427
1.5374144706,1.0528384238,0.0043829527,0.0087108923,0.0009154811,0.0025592512,0.0003077854,0.3334681048,0.0000000000,0.0002214243,0.0017015914,1.0000000000,0.1900489597
1.5554770473,1.0453630986,0.0042545865,0.0090027072,0.0009794456,0.0025671371,0.0003061798,0.3301995305,0.0000000000,0.0002252703,0.0016797243,1.0000000000,0.1912655525
1.5730490431,1.0376822441,0.0041262095,0.0092970975,0.0010469169,0.0025723719,0.0003046179,0.3269707654,0.0000000000,0.0002295136,0.0016599979,1.0000000000,0.1923734398
1.5901288961,1.0298012147,0.0039977002,0.0095936032,0.0011180291,0.0025747757,0.0003030997,0.3237771928,0.0000000000,0.0002341726,0.0016424229,1.0000000000,0.1933639317
1.6067163378,1.0217246132,0.0038689968,0.0098918005,0.0011929270,0.0025741916,0.0003016252,0.3206141354,0.0000000000,0.0002392670,0.0016270027,1.0000000000,0.1942287585
1.6228123217,1.0134562564,0.0037400942,0.0101912964,0.0012717661,0.0025704863,0.0003001945,0.3174768689,0.0000000000,0.0002448171,0.0016137347,1.0000000000,0.1949600999
1.6384189492,1.0049991554,0.0036110397,0.0104917227,0.0013547115,0.0025635510,0.0002988072,0.3143606312,0.0000000000,0.0002508444,0.0016026113,1.0000000000,0.1955506139
1.6535393936,0.9963555065,0.0034819271,0.0107927289,0.0014419378,0.0025533006,0.0002974632,0.3112606266,0.0000000000,0.0002573712,0.0015936209,1.0000000000,0.1959934662
1.6681778223,0.9875266917,0.0033528910,0.0110939750,0.0015336276,0.0025396740,0.0002961620,0.3081720271,0.0000000000,0.0002644210,0.0015867484,1.0000000000,0.1962823585
1.6823393191,0.9785132857,0.0032241000,0.0113951237,0.0016299704,0.0025226332,0.0002949032,0.3050899699,0.0000000000,0.0002720181,0.0015819757,1.0000000000,0.1964115550
1.6960298066,0.9693150668,0.0030957508,0.0116958321,0.0017311609,0.0025021621,0.0002936862,0.3020095523,0.0000000000,0.0002801878,0.0015792816,1.0000000000,0.1963759081
1.7092559693,0.9599310327,0.0029680611,0.0119957441,0.0018373969,0.0024782660,0.0002925106,0.2989258247,0.0000000000,0.0002889564,0.0015786419,1.0000000000,0.1961708802
1.7220251786,0.9503594172,0.0028412642,0.0122944812,0.0019488770,0.0024509703,0.0002913755,0.2958337813,0.0000000000,0.0002983506,0.0015800292,1.0000000000,0.1957925637
1.7343454187,0.9405977089,0.0027156033,0.0125916344,0.0020657980,0.0024203190,0.0002902804,0.2927283490,0.0000000000,0.0003083979,0.0015834123,1.0000000000,0.1952376972
