y,u,mut,k,eps,v2,nuSA,T,alphat,epst,kt,om,fv2
0.1216843175,0.7534805495,0.0004976782,0.0148118232,0.0044592998,0.0009912998,0.0004336281,0.6832937358,0.0004328613,0.0010000000,0.1000000000,1.0000000000,0.1201612863
0.1281671974,0.7710540726,0.0005453122,0.0147564135,0.0042933312,0.0010456815,0.0004330518,0.6749766522,0.0004824820,0.0010000000,0.1000000000,1.0000000000,0.1234536402
0.1349364233,0.7881772869,0.0005956855,0.0146601980,0.0041201314,0.0010992761,0.0004324501,0.6668681145,0.0005356700,0.0010000000,0.1000000000,1.0000000000,0.1266540223
0.1420022705,0.8048539896,0.0006488064,0.0145268453,0.0039420094,0.0011518425,0.0004318220,0.6589647980,0.0005924380,0.0010000000,0.1000000000,1.0000000000,0.1297539384
0.1493751529,0.8210898811,0.0007046698,0.0143599659,0.0037610425,0.0012031500,0.0004311667,0.6512613946,0.0006527783,0.0010000000,0.1000000000,1.0000000000,0.1327454012
0.1570655998,0.8368921275,0.0007632577,0.0141630489,0.0035790618,0.0012529797,0.0004304831,0.6437510686,0.0007166638,0.0010000000,0.1000000000,1.0000000000,0.1356209611
0.1650842307,0.8522689601,0.0008245392,0.0139394158,0.0033976505,0.0013011260,0.0004297703,0.6364258648,0.0007840492,0.0010000000,0.1000000000,1.0000000000,0.1383737338
0.1734417267,0.8672293123,0.0008884720,0.0136921904,0.0032181514,0.0013473968,0.0004290274,0.6292770633,0.0008548730,0.0010000000,0.1000000000,1.0000000000,0.1409974257
0.1821487988,0.8817824939,0.0009550030,0.0134242810,0.0030416808,0.0013916154,0.0004282534,0.6222954828,0.0009290597,0.0010000000,0.1000000000,1.0000000000,0.1434863572
0.1912161531,0.8959378994,0.0010240712,0.0131383733,0.0028691468,0.0014336219,0.0004274475,0.6154717339,0.0010065228,0.0010000000,0.1000000000,1.0000000000,0.1458354843
0.2006544527,0.9097047480,0.0010956100,0.0128369320,0.0027012700,0.0014732738,0.0004266085,0.6087964297,0.0010871688,0.0010000000,0.1000000000,1.0000000000,0.1480404187
0.2104742760,0.9230918509,0.0011695506,0.0125222089,0.0025386057,0.0015104484,0.0004257356,0.6022603599,0.0011709013,0.0010000000,0.1000000000,1.0000000000,0.1500974469
0.2206860715,0.9361074047,0.0012458268,0.0121962563,0.0023815656,0.0015450442,0.0004248279,0.5958546348,0.0012576265,0.0010000000,0.1000000000,1.0000000000,0.1520035480
0.2313001094,0.9487588054,0.0013243803,0.0118609442,0.0022304392,0.0015769829,0.0004238844,0.5895708064,0.0013472603,0.0010000000,0.1000000000,1.0000000000,0.1537564093
0.2423264290,0.9610524818,0.0014051669,0.0115179800,0.0020854134,0.0016062114,0.0004229043,0.5834009722,0.0014397357,0.0010000000,0.1000000000,1.0000000000,0.1553544418
0.2537747838,0.9729937470,0.0014881647,0.0111689303,0.0019465915,0.0016327039,0.0004218867,0.5773378665,0.0015350117,0.0010000000,0.1000000000,1.0000000000,0.1567967935
0.2656545813,0.9845866652,0.0015733824,0.0108152443,0.0018140088,0.0016564645,0.0004208307,0.5713749445,0.0016330846,0.0010000000,0.1000000000,1.0000000000,0.1580833604
0.2779748214,0.9958339363,0.0016608698,0.0104582775,0.0016876485,0.0016775290,0.0004197356,0.5655064613,0.0017339990,0.0010000000,0.1000000000,1.0000000000,0.1592147973
0.2907440307,1.0067367988,0.0017507288,0.0100993156,0.0015674540,0.0016959676,0.0004186005,0.5597275483,0.0018378620,0.0010000000,0.1000000000,1.0000000000,0.1601925248
0.3039701934,1.0172949554,0.0018431256,0.0097395982,0.0014533402,0.0017118863,0.0004174249,0.5540342879,0.0019448568,0.0010000000,0.1000000000,1.0000000000,0.1610187355
0.3176606809,1.0275065259,0.0019383036,0.0093803414,0.0013452034,0.0017254285,0.0004162079,0.5484237861,0.0020552587,0.0010000000,0.1000000000,1.0000000000,0.1616963972
0.3318221777,1.0373680367,0.0020365970,0.0090227593,0.0012429286,0.0017367762,0.0004149491,0.5428942400,0.0021694503,0.0010000000,0.1000000000,1.0000000000,0.1622292544
0.3464606064,1.0468744551,0.0021384426,0.0086680820,0.0011463963,0.0017461490,0.0004136479,0.5374449960,0.0022879369,0.0010000000,0.1000000000,1.0000000000,0.1626218271
0.3615810508,1.0560192803,0.0022443920,0.0083175713,0.0010554865,0.0017538037,0.0004123039,0.5320765928,0.0024113596,0.0010000000,0.1000000000,1.0000000000,0.1628794065
0.3771876783,1.0647947035,0.0023551195,0.0079725305,0.0009700820,0.0017600304,0.0004109167,0.5267907807,0.0025405062,0.0010000000,0.1000000000,1.0000000000,0.1630080489
0.3932836622,1.0731918489,0.0024714260,0.0076343086,0.0008900697,0.0017651481,0.0004094859,0.5215905057,0.0026763152,0.0010000000,0.1000000000,1.0000000000,0.1630145661
0.4098711039,1.0812011038,0.0025942364,0.0073042971,0.0008153401,0.0017694972,0.0004080115,0.5164798486,0.0028198735,0.0010000000,0.1000000000,1.0000000000,0.1629065124
0.4269509569,1.0888125417,0.0027245874,0.0069839178,0.0007457861,0.0017734306,0.0004064932,0.5114639080,0.0029724025,0.0010000000,0.1000000000,1.0000000000,0.1626921680
0.4445229527,1.0960164334,0.0028636042,0.0066746018,0.0006812992,0.0017773021,0.0004049313,0.5065486165,0.0031352307,0.0010000000,0.1000000000,1.0000000000,0.1623805175
0.4625855294,1.1028038281,0.0030124620,0.0063777588,0.0006217663,0.0017814534,0.0004033257,0.5017404882,0.0033097490,0.0010000000,0.1000000000,1.0000000000,0.1619812228
0.4811357642,1.1091671753,0.0031723320,0.0060947394,0.0005670645,0.0017862003,0.0004016768,0.4970462990,0.0034973473,0.0010000000,0.1000000000,1.0000000000,0.1615045895
0.5001693105,1.1151009424,0.0033443098,0.0058267920,0.0005170574,0.0017918191,0.0003999850,0.4924727117,0.0036993296,0.0010000000,0.1000000000,1.0000000000,0.1609615239
0.5196803412,1.1206021736,0.0035293267,0.0055750180,0.0004715906,0.0017985347,0.0003982506,0.4880258679,0.0039168099,0.0010000000,0.1000000000,1.0000000000,0.1603634797
0.5396614981,1.1256709339,0.0037280478,0.0053403305,0.0004304897,0.0018065110,0.0003964745,0.4837109762,0.0041505906,0.0010000000,0.1000000000,1.0000000000,0.1597223936
0.5601038497,1.1303105827,0.0039407604,0.0051234214,0.0003935596,0.0018158461,0.0003946574,0.4795319329,0.0044010308,0.0010000000,0.1000000000,1.0000000000,0.1590506048
0.5809968569,1.1345278413,0.0041672628,0.0049247402,0.0003605853,0.0018265715,0.0003928003,0.4754910082,0.0046679128,0.0010000000,0.1000000000,1.0000000000,0.1583607618
0.6023283492,1.1383326384,0.0044067615,0.0047444879,0.0003313355,0.0018386565,0.0003909041,0.4715886284,0.0049503194,0.0010000000,0.1000000000,1.0000000000,0.1576657123
0.6240845103,1.1417377456,0.0046577897,0.0045826269,0.0003055676,0.0018520161,0.0003889703,0.4678232695,0.0052465355,0.0010000000,0.1000000000,1.0000000000,0.1569783803
0.6462498761,1.1447582375,0.0049181586,0.0044389057,0.0002830329,0.0018665231,0.0003870000,0.4641914668,0.0055539882,0.0010000000,0.1000000000,1.0000000000,0.1563116309
0.6688073438,1.1474108330,0.0051849517,0.0043128941,0.0002634838,0.0018820206,0.0003849949,0.4606879299,0.0058692378,0.0010000000,0.1000000000,1.0000000000,0.1556781277
0.6917381935,1.1497131784,0.0054545689,0.0042040268,0.0002466796,0.0018983354,0.0003829566,0.4573057410,0.0061880282,0.0010000000,0.1000000000,1.0000000000,0.1550901861
0.7150221237,1.1516831325,0.0057228249,0.0041116498,0.0002323922,0.0019152907,0.0003808869,0.4540366108,0.0065054014,0.0010000000,0.1000000000,1.0000000000,0.1545596290
0.7386372983,1.1533381048,0.0059850980,0.0040350651,0.0002204107,0.0019327161,0.0003787878,0.4508711629,0.0068158730,0.0010000000,0.1000000000,1.0000000000,0.1540976472
0.7625604087,1.1546944816,0.0062365232,0.0039735721,0.0002105448,0.0019504561,0.0003766613,0.4477992218,0.0071136603,0.0010000000,0.1000000000,1.0000000000,0.1537146701
0.7867667475,1.1557671611,0.0064722156,0.0039265022,0.0002026271,0.0019683754,0.0003745096,0.4448100857,0.0073929487,0.0010000000,0.1000000000,1.0000000000,0.1534202484
0.8112302966,1.1565692017,0.0066875084,0.0038932464,0.0001965146,0.0019863627,0.0003723351,0.4418927716,0.0076481751,0.0010000000,0.1000000000,1.0000000000,0.1532229513
0.8359238264,1.1571115824,0.0068781878,0.0038732752,0.0001920888,0.0020043320,0.0003701401,0.4390362265,0.0078743088,0.0010000000,0.1000000000,1.0000000000,0.1531302772
0.8608190076,1.1574030619,0.0070407040,0.0038661518,0.0001892557,0.0020222234,0.0003679272,0.4362295040,0.0080671056,0.0010000000,0.1000000000,1.0000000000,0.1531485798
0.8858865338,1.1574501269,0.0071723441,0.0038715387,0.0001879452,0.0020400016,0.0003656990,0.4334619097,0.0082233149,0.0010000000,0.1000000000,1.0000000000,0.1532830077
0.9110962541,1.1572570142,0.0072713516,0.0038891987,0.0001881098,0.0020576552,0.0003634581,0.4307231208,0.0083408254,0.0010000000,0.1000000000,1.0000000000,0.1535374574
0.9364173138,1.1568257970,0.0073369862,0.0039189912,0.0001897237,0.0020751943,0.0003612073,0.4280032844,0.0084187375,0.0010000000,0.1000000000,1.0000000000,0.1539145397
0.9618183033,1.1561565255,0.0073695194,0.0039608641,0.0001927810,0.0020926484,0.0003589495,0.4252931032,0.0084573598,0.0010000000,0.1000000000,1.0000000000,0.1544155589
0.9872674122,1.1552474170,0.0073701710,0.0040148426,0.0001972946,0.0021100643,0.0003566873,0.4225839105,0.0084581334,0.0010000000,0.1000000000,1.0000000000,0.1550405060
1.0127325878,1.1540950884,0.0073409923,0.0040810139,0.0002032947,0.0021275028,0.0003544238,0.4198677404,0.0084234933,0.0010000000,0.1000000000,1.0000000000,0.1557880660
1.0381816967,1.1526948297,0.0072847103,0.0041595103,0.0002108265,0.0021450361,0.0003521616,0.4171373931,0.0083566823,0.0010000000,0.1000000000,1.0000000000,0.1566556404
1.0635826862,1.1510409113,0.0072045461,0.0042504889,0.0002199488,0.0021627435,0.0003499038,0.4143864969,0.0082615327,0.0010000000,0.1000000000,1.0000000000,0.1576393864
1.0889037459,1.1491269206,0.0071040226,0.0043541109,0.0002307318,0.0021807079,0.0003476530,0.4116095634,0.0081422372,0.0010000000,0.1000000000,1.0000000000,0.1587342721
1.1141134662,1.1469461195,0.0069867768,0.0044705194,0.0002432548,0.0021990105,0.0003454121,0.4088020339,0.0080031241,0.0010000000,0.1000000000,1.0000000000,0.1599341485
1.1391809924,1.1444918097,0.0068563889,0.0045998176,0.0002576043,0.0022177257,0.0003431839,0.4059603124,0.0078484526,0.0010000000,0.1000000000,1.0000000000,0.1612318368
1.1640761736,1.1417576939,0.0067162371,0.0047420484,0.0002738710,0.0022369157,0.0003409710,0.4030817797,0.0076822403,0.0010000000,0.1000000000,1.0000000000,0.1626192292
1.1887697034,1.1387382140,0.0065693848,0.0048971769,0.0002921481,0.0022566244,0.0003387760,0.4001647869,0.0075081283,0.0010000000,0.1000000000,1.0000000000,0.1640874008
1.2132332525,1.1354288524,0.0064185026,0.0050650759,0.0003125286,0.0022768720,0.0003366015,0.3972086213,0.0073292891,0.0010000000,0.1000000000,1.0000000000,0.1656267278
1.2374395913,1.1318263776,0.0062658241,0.0052455176,0.0003351036,0.0022976503,0.0003344498,0.3942134480,0.0071483739,0.0010000000,0.1000000000,1.0000000000,0.1672270098
1.2613627017,1.1279290239,0.0061131325,0.0054381685,0.0003599609,0.0023189186,0.0003323233,0.3911802236,0.0069674978,0.0010000000,0.1000000000,1.0000000000,0.1688775898
1.2849778763,1.1237365937,0.0059617737,0.0056425923,0.0003871837,0.0023406010,0.0003302242,0.3881105890,0.0067882555,0.0010000000,0.1000000000,1.0000000000,0.1705674705
1.3082618065,1.1192504826,0.0058126887,0.0058582564,0.0004168501,0.0023625860,0.0003281545,0.3850067432,0.0066117604,0.0010000000,0.1000000000,1.0000000000,0.1722854215
1.3311926562,1.1144736283,0.0056664605,0.0060845436,0.0004490335,0.0023847263,0.0003261162,0.3818713069,0.0064387014,0.0010000000,0.1000000000,1.0000000000,0.1740200765
1.3537501239,1.1094103918,0.0055233694,0.0063207679,0.0004838026,0.0024068419,0.0003241111,0.3787071818,0.0062694081,0.0010000000,0.1000000000,1.0000000000,0.1757600189
1.3759154897,1.1040663841,0.0053834511,0.0065661918,0.0005212231,0.0024287234,0.0003221408,0.3755174127,0.0061039206,0.0010000000,0.1000000000,1.0000000000,0.1774938548
1.3976716508,1.0984482535,0.0052465542,0.0068200450,0.0005613591,0.0024501371,0.0003202070,0.3723050601,0.0059420578,0.0010000000,0.1000000000,1.0000000000,0.1792102746
1.4190031431,1.0925634482,0.0051123941,0.0070815427,0.0006042744,0.0024708306,0.0003183108,0.3690730857,0.0057834814,0.0010000000,0.1000000000,1.0000000000,0.1808981041
1.4398961503,1.0864199715,0.0049806006,0.0073499025,0.0006500345,0.0024905390,0.0003164537,0.3658242565,0.0056277526,0.0010000000,0.1000000000,1.0000000000,0.1825463471
1.4603385019,1.0800261395,0.0048507593,0.0076243591,0.0006987088,0.0025089913,0.0003146366,0.3625610670,0.0054743807,0.0010000000,0.1000000000,1.0000000000,0.1841442205
1.4803196588,1.0733903557,0.0047224452,0.0079041764,0.0007503717,0.0025259163,0.0003128605,0.3592856811,0.0053228632,0.0010000000,0.1000000000,1.0000000000,0.1856811845
1.4998306895,1.0665209058,0.0045952491,0.0081886563,0.0008051049,0.0025410482,0.0003111262,0.3559998919,0.0051727173,0.0010000000,0.1000000000,1.0000000000,0.1871469699
