y,u,mut,k,eps,v2,nuSA,T,alphat,epst,kt,om,fv2
0.9364173138,1.1574560400,0.0039679734,0.1000000000,0.0010000000,0.0666666667,0.0056218391,0.4586383606,0.0044330843,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.9618183033,1.1569492981,0.0040263611,0.1000000000,0.0010000000,0.0666666667,0.0056737718,0.4534194287,0.0045018680,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.9872674122,1.1559975655,0.0040959584,0.1000000000,0.0010000000,0.0666666667,0.0057386662,0.4482726322,0.0045838749,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.0127325878,1.1546154639,0.0041663956,0.1000000000,0.0010000000,0.0666666667,0.0058046673,0.4432094529,0.0046668906,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.0381816967,1.1528181542,0.0042355278,0.1000000000,0.0010000000,0.0666666667,0.0058693161,0.4382331355,0.0047483866,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.0635826862,1.1506213936,0.0043022687,0.1000000000,0.0010000000,0.0666666667,0.0059313585,0.4333449278,0.0048270805,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.0889037459,1.1480413191,0.0043657733,0.1000000000,0.0010000000,0.0666666667,0.0059898132,0.4285450194,0.0049019733,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.1141134662,1.1450942337,0.0044253485,0.1000000000,0.0010000000,0.0666666667,0.0060438720,0.4238328626,0.0049722449,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.1391809924,1.1417964479,0.0044804144,0.1000000000,0.0010000000,0.0666666667,0.0060928584,0.4192073799,0.0050372087,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.1640761736,1.1381641616,0.0045304833,0.1000000000,0.0010000000,0.0666666667,0.0061362042,0.4146671108,0.0050962862,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.1887697034,1.1342133748,0.0045751460,0.1000000000,0.0010000000,0.0666666667,0.0061734358,0.4102103186,0.0051489919,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.2132332525,1.1299598196,0.0046140624,0.1000000000,0.0010000000,0.0666666667,0.0062041642,0.4058350705,0.0051949218,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.2374395913,1.1254189074,0.0046469545,0.1000000000,0.0010000000,0.0666666667,0.0062280772,0.4015392963,0.0052337455,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.2613627017,1.1206056874,0.0046736008,0.1000000000,0.0010000000,0.0666666667,0.0062449329,0.3973208331,0.0052651997,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.2849778763,1.1155348126,0.0046938314,0.1000000000,0.0010000000,0.0666666667,0.0062545550,0.3931774578,0.0052890821,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.3082618065,1.1102205116,0.0047075241,0.1000000000,0.0010000000,0.0666666667,0.0062568275,0.3891069113,0.0053052472,0.0010000000,0.1000000000,1.0000000000,0.0000000000
