y,u,mut,k,eps,v2,nuSA,T,alphat,epst,kt,om,fv2
1.6535393936,0.9861169603,0.0038983394,0.1000000000,0.0010000000,0.0666666667,0.0051659734,0.3257013934,0.0043510703,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.6681778223,0.9781826678,0.0038053479,0.1000000000,0.0010000000,0.0666666667,0.0050585858,0.3225813904,0.0042415782,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.6823393191,0.9701733083,0.0037087935,0.1000000000,0.0010000000,0.0666666667,0.0049484504,0.3194874223,0.0041279312,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.6960298066,0.9620902019,0.0036089105,0.1000000000,0.0010000000,0.0666666667,0.0048359057,0.3164166591,0.0040104116,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.7092559693,0.9539338078,0.0035059301,0.1000000000,0.0010000000,0.0666666667,0.0047212833,0.3133661314,0.0038892981,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.7220251786,0.9457036761,0.0034000790,0.1000000000,0.0010000000,0.0666666667,0.0046049068,0.3103327073,0.0037648649,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.7343454187,0.9373983923,0.0032915801,0.1000000000,0.0010000000,0.0666666667,0.0044870903,0.3073130655,0.0036373820,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.7462252162,0.9290155123,0.0031806530,0.1000000000,0.0010000000,0.0666666667,0.0043681374,0.3043036652,0.0035071159,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.7576735710,0.9205514872,0.0030675144,0.1000000000,0.0010000000,0.0666666667,0.0042483407,0.3013007115,0.0033743309,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.7686998906,0.9120015766,0.0029523798,0.1000000000,0.0010000000,0.0666666667,0.0041279800,0.2983001152,0.0032392905,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.7793139285,0.9033597479,0.0028354654,0.1000000000,0.0010000000,0.0666666667,0.0040073227,0.2952974473,0.0031022597,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.7895257240,0.8946185616,0.0027169902,0.1000000000,0.0010000000,0.0666666667,0.0038866228,0.2922878868,0.0029635085,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.7993455473,0.8857690393,0.0025971789,0.1000000000,0.0010000000,0.0666666667,0.0037661201,0.2892661602,0.0028233149,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.8087838469,0.8768005134,0.0024762653,0.1000000000,0.0010000000,0.0666666667,0.0036460407,0.2862264726,0.0026819692,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.8178512012,0.8677004578,0.0023544962,0.1000000000,0.0010000000,0.0666666667,0.0035265961,0.2831624289,0.0025397788,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.8265582733,0.8584542965,0.0022321352,0.1000000000,0.0010000000,0.0666666667,0.0034079836,0.2800669426,0.0023970735,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.8349157693,0.8490451909,0.0021094672,0.1000000000,0.0010000000,0.0666666667,0.0032903856,0.2769321333,0.0022542108,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.8429344002,0.8394538056,0.0019868029,0.1000000000,0.0010000000,0.0666666667,0.0031739704,0.2737492096,0.0021115813,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.8506248471,0.8296580535,0.0018644822,0.1000000000,0.0010000000,0.0666666667,0.0030588920,0.2705083376,0.0019696138,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.8579977295,0.8196328245,0.0017428779,0.1000000000,0.0010000000,0.0666666667,0.0029452902,0.2671984946,0.0018287796,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.8650635767,0.8093497041,0.0016223978,0.1000000000,0.0010000000,0.0666666667,0.0028332912,0.2638073098,0.0016895958,0.0010000000,0.1000000000,1.0000000000,0.0000000000
