y,u,mut,k,eps,v2,nuSA,T,alphat,epst,kt,om,fv2
0.0882468523,11.2301795843,0.0055989673,3.6210065678,33.2031502060,0.0666666667,0.0090958392,0.7571349656,0.0062210748,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0932174715,11.5734016728,0.0064013603,3.7470198438,32.3875652905,0.0666666667,0.0090866343,0.7495550715,0.0071126226,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.0984166444,11.9060303411,0.0072707835,3.8543253995,31.4463432682,0.0666666667,0.0090770062,0.7421871339,0.0080786484,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.1038534780,12.2280503574,0.0082067223,3.9429794918,30.4059354976,0.0666666667,0.0090669380,0.7350288402,0.0091185804,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.1095373034,12.5396010572,0.0092082562,4.0134414785,29.2914147690,0.0666666667,0.0090564124,0.7280746279,0.0102313958,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.1154776665,12.8409381125,0.0102741027,4.0664739410,28.1255897174,0.0666666667,0.0090454117,0.7213165350,0.0114156697,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.1216843175,13.1324000085,0.0114026505,4.1030510485,26.9285126050,0.0666666667,0.0090339179,0.7147449275,0.0126696117,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.1281671974,13.4143799849,0.0125919832,4.1242799613,25.7172996349,0.0666666667,0.0090219126,0.7083490935,0.0139910924,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.1349364233,13.6873034320,0.0138398936,4.1313370039,24.5061769781,0.0666666667,0.0090093770,0.7021177111,0.0153776596,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.1420022705,13.9516102738,0.0151438909,4.1254182781,23.3066739968,0.0666666667,0.0089962921,0.6960392022,0.0168265455,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.1493751529,14.2077416583,0.0165012011,4.1077032096,22.1279000364,0.0666666667,0.0089826386,0.6901019928,0.0183346679,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.1570655998,14.4561302151,0.0179087627,4.0793289951,20.9768574490,0.0666666667,0.0089683970,0.6842946948,0.0198986253,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.1650842307,14.6971931747,0.0193632181,4.0413738188,19.8587582823,0.0666666667,0.0089535477,0.6786062288,0.0215146868,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.1734417267,14.9313277228,0.0208609020,3.9948468591,18.7773240817,0.0666666667,0.0089380709,0.6730258982,0.0231787800,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.1821487988,15.1589080612,0.0223978278,3.9406833742,17.7350572918,0.0666666667,0.0089219467,0.6675434300,0.0248864754,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.1912161531,15.3802837408,0.0239696724,3.8797434617,16.7334791028,0.0666666667,0.0089051553,0.6621489884,0.0266329693,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.2006544527,15.5957789227,0.0255717609,3.8128133791,15.7733327980,0.0666666667,0.0088876769,0.6568331701,0.0284130677,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.2104742760,15.8056922935,0.0271990522,3.7406085762,14.8547542301,0.0666666667,0.0088694921,0.6515869868,0.0302211692,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.2206860715,16.0102974268,0.0288461267,3.6637778034,13.9774124780,0.0666666667,0.0088505813,0.6464018377,0.0320512519,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.2313001094,16.2098434278,0.0305071766,3.5829078378,13.1406243678,0.0666666667,0.0088309257,0.6412694768,0.0338968629,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.2423264290,16.4045557402,0.0321760014,3.4985285049,12.3434466737,0.0666666667,0.0088105066,0.6361819765,0.0357511126,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.2537747838,16.5946370220,0.0338460091,3.4111177776,11.5847496437,0.0666666667,0.0087893060,0.6311316885,0.0376066767,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.2656545813,16.7802680217,0.0355102248,3.3211068123,10.8632751630,0.0666666667,0.0087673063,0.6261112055,0.0394558053,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.2779748214,16.9616084004,0.0371613082,3.2288848399,10.1776824572,0.0666666667,0.0087444911,0.6211133212,0.0412903424,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.2907440307,17.1387974627,0.0387915816,3.1348038703,9.5265838188,0.0666666667,0.0087208444,0.6161309925,0.0431017574,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.3039701934,17.3119547633,0.0403930702,3.0391832014,8.9085724353,0.0666666667,0.0086963515,0.6111573028,0.0448811892,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.3176606809,17.4811805657,0.0419575557,2.9423137413,8.3222440359,0.0666666667,0.0086709987,0.6061854265,0.0466195063,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.3318221777,17.6465561313,0.0434766458,2.8444621733,7.7662137522,0.0666666667,0.0086447737,0.6012085968,0.0483073842,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.3464606064,17.8081438215,0.0449418615,2.7458750003,7.2391293227,0.0666666667,0.0086176655,0.5962200753,0.0499354017,0.0010000000,0.1000000000,1.0000000000,0.0000000000
0.3615810508,17.9659869909,0.0463447434,2.6467825190,6.7396815450,0.0666666667,0.0085896647,0.5912131261,0.0514941594,0.0010000000,0.1000000000,1.0000000000,0.0000000000
