yplus,eps_scaled,kt_scaled,tau_u,tau_t,Tplus
64.3837456929021,0.0329229688251952,1.28052707020675,80.1425866983489,24.9028206757195,13.9220231643828
69.493257555801,0.0293478398633614,1.23592097966923,85.3402248133131,26.0240732384108,14.2031898677189
74.8229550986413,0.0260820962995139,1.1904970127924,90.7570732145693,27.1696554063801,14.4749756583725
80.3710228213172,0.0230945920340997,1.1440339208887,96.4197067599356,28.3359327199086,14.7376769498366
86.1341844794593,0.0203575941284838,1.09628080266095,102.361628556137,29.5180164880427,14.9914102268616
92.1076185452034,0.0178468195530161,1.0469627107217,108.625218793234,30.7094189635735,15.2361106793131
98.2848907466404,0.0155414620248157,0.995787752850991,115.263880336378,31.9015433407973,15.4715220055876
104.657907084161,0.0134242645715195,0.942458401603016,122.34399906259,33.0829236126851,15.6971763688785
111.216890493167,0.0114816799591334,0.886691392891056,129.945765311519,34.2380918570046,15.912363222547
117.950383935862,0.00970414620759003,0.828253438434044,138.160736003189,35.3459100678669,16.1160861461251
124.845282157455,0.00808647785220949,0.767024571860634,147.081810708801,36.3771906997333,16.3070087788587
131.886893641026,0.00662832215611541,0.703107953014283,156.777619261547,37.2915484453203,16.4833957834869
139.059033458369,0.00533454271644473,0.637014828971823,167.238684140606,38.0339903436412,16.643064094244
146.344146769753,0.00421528424130223,0.569965442974656,178.281377453371,38.5336536741988,16.7833733513214
153.723461712663,0.00328541515861938,0.504354773999306,189.410584450514,38.7125714369057,16.9012960568704
161.17716938505,0.00256315853385198,0.444398306054234,199.694128148098,38.5247053226708,16.9936027368915
168.684627625393,0.00206789813760732,0.396718721244279,207.788305824892,38.0545204145791,17.0571747987069
176.224584374515,0.00181660677813952,0.369728816311024,212.275047858078,37.6249277652568,17.0894883301826
183.775415625485,0.00181660677813953,0.369728816311025,212.275047858078,37.6249277652568,17.0894883301826
191.315372374607,0.00206789813760734,0.396718721244281,207.788305824892,38.0545204145791,17.0571747987068
198.82283061495,0.002563158533852,0.444398306054236,199.694128148096,38.5247053226707,16.9936027368914
206.276538287337,0.00328541515861942,0.504354773999308,189.410584450513,38.7125714369055,16.9012960568704
213.655853230247,0.00421528424130228,0.569965442974658,178.28137745337,38.5336536741986,16.7833733513214
220.940966541631,0.0053345427164448,0.637014828971826,167.238684140604,38.0339903436411,16.643064094244
228.113106358974,0.00662832215611549,0.703107953014287,156.777619261546,37.2915484453202,16.4833957834869
235.154717842545,0.00808647785220958,0.767024571860637,147.081810708801,36.3771906997332,16.3070087788586
242.049616064138,0.00970414620759012,0.828253438434047,138.160736003188,35.3459100678668,16.1160861461251
248.783109506833,0.0114816799591335,0.886691392891058,129.945765311519,34.2380918570045,15.912363222547
255.342092915839,0.0134242645715196,0.942458401603018,122.34399906259,33.0829236126851,15.6971763688784
261.71510925336,0.0155414620248158,0.995787752850993,115.263880336378,31.9015433407973,15.4715220055876
267.892381454797,0.0178468195530162,1.0469627107217,108.625218793234,30.7094189635735,15.2361106793131
273.865815520541,0.0203575941284839,1.09628080266095,102.361628556137,29.5180164880427,14.9914102268616
279.628977178683,0.0230945920340997,1.1440339208887,96.4197067599354,28.3359327199087,14.7376769498366
285.177044901359,0.026082096299514,1.1904970127924,90.7570732145692,27.1696554063801,14.4749756583725
290.506742444199,0.0293478398633614,1.23592097966923,85.340224813313,26.0240732384109,14.2031898677188
295.616254307098,0.0329229688251951,1.28052707020675,80.1425866983489,24.9028206757195,13.9220231643828
300.505127596011,0.0368419202875803,1.32450095598511,75.1428792034028,23.8085144410463,13.6309922031383
305.174163716653,0.041142105495449,1.36798506933706,70.3238074808919,22.7429190532813,13.329411106094
309.625303172811,0.0458632312498182,1.41106780629533,65.6710391080238,21.7070657660106,13.0163662271312
313.861506497678,0.0510459950879738,1.45376789036465,61.1724247369517,20.7013407752452,12.6906792543382
317.886634039657,0.0567297257277839,1.4960115096967,56.8174196354095,19.7255531243376,12.3508553163243
321.705326976927,0.0629482634020008,1.53759863060184,52.5966714471048,18.7789894514668,11.9950109181911
325.322891568014,0.0697229037576951,1.57815285229381,48.5017481167971,17.8604611323879,11.6207738152181
328.745188276156,0.0770504214733891,1.61704574930304,44.52498821796,16.9683494608923,11.2251427932378
331.978527047484,0.0848827985527378,1.65328086913542,40.6594631404681,16.1006568990003,10.8042889264989
335.029569688036,0.0930928975582026,1.68531272606119,36.8990455214745,15.2550788466328,10.3532700544653
337.905239979973,0.101416351345768,1.71075958841163,33.2385769737345,14.4291247442145,9.86561585357607
340.612641907967,0.109353953069104,1.72594255300098,29.6741067044232,13.6203475624566,9.33272346461703
343.158986134991,0.116012692911226,1.72515009961317,26.2030806269726,12.8267984800279,8.74299884532196
345.551524672945,0.119871630338125,1.69952970185382,22.8240042687741,12.0478932310171,8.08076519472057
347.797493536475,0.118548659318624,1.63578579635997,19.533701828871,11.2856407948962,7.32546289190713
349.904063045634,0.109051065829018,1.51640156618303,16.3148927267382,10.5431051610614,6.45367743463956
351.878295351402,0.0899828301178228,1.32780537768331,13.091832573011,9.79668631613489,5.45152185801833
353.727108694081,0.0661160281158313,1.08197306436662,9.65243469701542,8.85311584328664,4.34250349744265
355.457247864221,0.0470344227667681,0.818435968840072,5.84241641403302,7.12071495394706,3.19502493792434
357.075260315368,0.0359652353189981,0.564824035785491,2.3879142622181,4.43520233596928,2.07361604997502
358.587477373879,0.0355706773759276,0.317379862734064,0.185773290060494,1.41591311580226,1.00659561342968
360,0.071106541449163,0,0,0,0
