ReTau,MaBulk,MaCent,uTau,expMu
547.0421544933256,3.0,3.4,0.050879653591479834,0.75
y,ypl,yst,rho,mu,u,u_fav,P,T,T_fav,ust
0.027909512,15.267679575337326,14.98542385679192,0.9790304336983635,0.0018453732440511007,11.281351178383789,11.29754055747457,0.08219196,1.0123686,1.0137988,11.138912438153227
0.029960221,16.389503844936176,16.07047439421212,0.977679181554656,0.001845939235742795,11.689441024409726,11.704535663342734,0.082111206,1.0127818,1.0142025,11.536990830363731
0.032027754,17.520531551742227,17.164006457241598,0.9764233863323707,0.0018464170652661399,12.060901886776229,12.075153556133532,0.082033394,1.0131307,1.0145446,11.899101891265655
0.034112212,18.660817947013076,18.26495819499424,0.9751217794550254,0.001846815558267079,12.399517006649706,12.413092374232706,0.081947189,1.0134217,1.0148313,12.22899884836658
0.036213698,19.81041937609064,19.374727504951963,0.9739143835754293,0.0018471432009436355,12.708739630811491,12.721855679229552,0.081864827,1.013661,1.0150682,12.530098487684615
0.038332312,20.969390543190357,20.492169186121842,0.9726705683884631,0.0018474082531952187,12.991688294644586,13.004464914651074,0.081775824,1.0138546,1.0152611,12.80548037587932
0.040468156,22.137787246612,21.6187182150258,0.9715201974769856,0.001847618446891138,13.251159400835663,13.263766797991908,0.081691506,1.0140082,1.0154153,13.05790108273247
0.042621331,23.315664737613165,22.75316910401584,0.9703423204044154,0.0018477810235870394,13.489647856308009,13.50216110974153,0.08160215,1.014127,1.0155359,13.289816497775263
0.04479194,24.50307936153577,23.896983742952003,0.9692565458433783,0.0018479025836591635,13.709373408878832,13.721917912525116,0.08151817,1.0142158,1.0156271,13.503408872532638
0.046980082,25.700085275553104,25.048912470086282,0.9681513157049831,0.0018479891617372154,13.912304821952151,13.924919491170488,0.081430533,1.0142791,1.0156935,13.700611849622067
0.04918586,26.906738825007082,26.210432582747202,0.9671362712724697,0.0018480462078461475,14.100190928189338,14.1129651896892,0.081348768,1.0143208,1.0157385,13.883141046242852
0.051409373,28.123094167071002,27.380266539157972,0.9661082884018116,0.0018480785874061595,14.27458421457535,14.287529664347637,0.081264477,1.0143444,1.0157658,14.052518206716808
0.053650723,29.349207100044616,28.55989420315507,0.9651677118688416,0.0018480906755237879,14.436864997111627,14.450042759786335,0.081186345,1.0143532,1.0157781,14.21009490388269
0.055910009,30.58513178110122,29.74802339292757,0.964219084752137,0.0018480861872679443,14.588258519989106,14.601661913130803,0.081106574,1.01435,1.0157783,14.357070217309818
0.058187332,31.83092346149843,30.946130120891723,0.963354509563231,0.0018480685548342742,14.729854413267876,14.743522941862507,0.081033072,1.0143371,1.0157686,14.494509774493352
0.060482793,33.086637392493834,32.15292130240092,0.962485909082458,0.0018480405503807989,14.862621237001346,14.876535443369264,0.080958607,1.0143166,1.015751,14.623360306429264
0.06279649,34.352327184218574,33.36986011688099,0.9616972393973333,0.0018480047197669243,14.987423776951486,15.001607835785585,0.080890376,1.0142903,1.0157273,14.744466369547043
0.065128523,35.628047540888105,34.595657255628105,0.9609073237885359,0.0018479631373966117,15.10503660600192,15.11946280484937,0.080821677,1.0142599,1.0156989,14.858584111263246
